"","country","ml_predicted_score","country_txt","incidents","fatalities","injuries","hostages","norm_incidents","norm_fatalities","norm_injuries","norm_hostages","gti_score","Freedom_Fighter","Insurgency","Neutral","State_Violence","Terrorism","total_articles","terrorism_ratio","state_violence_ratio"
"78","Kosovo",0.555577976575615,"Kosovo",201,84,365,11,0.0726744186046512,0.0102846648301194,0.0261783859769917,2.65235824059353,0.560595050344536,1,0,3,0,2,6,0.285714285714286,0
"79","Taiwan",0.553803303620834,"Taiwan",54,60,87,358,0.0192587209302326,0.00734618916437098,0.00623977967122816,2.7672893481717,0.562687298596967,1,0,7,0,0,8,0,0
"80","Yugoslavia",0.554272557729075,"Yugoslavia",203,119,281,9,0.0734011627906977,0.0145699418426691,0.0201537711220128,2.65169581346052,0.560761248306517,0,0,2,0,0,2,0,0
"81","Kuwait",0.554355790057888,"Kuwait",76,63,300,182,0.0272529069767442,0.00771349862258953,0.0215164816249247,2.70899576046635,0.556592370098055,0,1,4,1,1,7,0.125,0.125
"82","Canada",0.554986463584733,"Canada",126,381,200,15,0.045421511627907,0.0466483011937557,0.0143443210832831,2.65368309485957,0.561226427035069,0,2,32,1,2,37,0.0526315789473684,0.0263157894736842
"83","Senegal",0.550589108217401,"Senegal",122,343,330,-94,0.043968023255814,0.0419957147229875,0.0236681297874172,2.61758081611023,0.554038910573169,0,0,6,0,0,6,0,0
"84","Bosnia-Herzegovina",0.546976099393711,"Bosnia-Herzegovina",161,79,151,6,0.0581395348837209,0.00967248239975513,0.0108299624178788,2.650702172761,0.552650032220818,NA,NA,NA,NA,NA,NA,NA,NA
"85","Zimbabwe",0.54603403944125,"Zimbabwe",106,157,270,26,0.0381540697674419,0.0192225283134374,0.0193648334624322,2.65732644409115,0.55255123493498,1,0,31,2,0,34,0,0.0571428571428571
"86","Macedonia",0.545672765630036,"Macedonia",118,49,60,115,0.0425145348837209,0.00599938781756964,0.00430329632498494,2.68680445151033,0.552775726377451,0,0,3,0,0,3,0,0
"87","Cyprus",0.546327651840005,"Cyprus",130,45,41,155,0.046875,0.00550964187327824,0.00294058582207304,2.70005299417064,0.556314108560526,0,0,2,0,0,2,0,0
"88","Bahrain",0.546306854183943,"Bahrain",208,44,190,5,0.075218023255814,0.00538720538720539,0.013627105029119,2.65037095919449,0.556981181437627,0,0,7,2,1,10,0.0909090909090909,0.181818181818182
"89","Zaire",0.546011050858313,"Zaire",50,324,211,6,0.0178052325581395,0.0396694214876033,0.0151332587428637,2.650702172761,0.550409482514495,0,0,1,0,0,1,0,0
"90","Morocco",0.536795734540905,"Morocco",37,294,200,10,0.0130813953488372,0.0359963269054178,0.0143443210832831,2.65202702702703,0.547997586298339,0,0,6,0,2,8,0.222222222222222,0
"91","Azerbaijan",0.542366926551086,"Azerbaijan",50,258,188,1,0.0178052325581395,0.0315886134067952,0.0134836618182861,2.64904610492846,0.547324107138829,0,0,9,0,0,9,0,0
"92","Djibouti",0.542733910745326,"Djibouti",22,274,162,22,0.00763081395348837,0.0335475971839608,0.0116189000774593,2.65600158982512,0.54587762132175,0,0,1,0,0,1,0,0
"93","Portugal",0.540650600583763,"Portugal",141,32,95,8,0.0508720930232558,0.00391796755433119,0.00681355251455949,2.65136459989401,0.54807264865499,0,0,1,0,0,1,0,0
"94","Australia",0.53986339049955,"Australia",120,27,117,20,0.0432412790697674,0.00330578512396694,0.00839142783372063,2.6553391626921,0.546710237363285,0,1,26,1,8,36,0.216216216216216,0.027027027027027
"95","Jordan",0.541668340386593,"Jordan",121,140,280,-174,0.0436046511627907,0.017141108050199,0.0200820495165964,2.59108373078961,0.540456883825139,0,2,31,0,1,34,0.0285714285714286,0
"96","Croatia",0.539581010879847,"Croatia",58,249,74,6,0.0207122093023256,0.0304866850321396,0.00530739880081476,2.650702172761,0.546561582612702,NA,NA,NA,NA,NA,NA,NA,NA
"97","Ecuador",0.539065016125301,"Ecuador",245,66,122,-424,0.0886627906976744,0.00808080808080808,0.00875003586080271,2.50828033916269,0.532429154638244,0,0,6,0,2,8,0.222222222222222,0
"98","Fiji",0.539031795042588,"Fiji",17,8,18,207,0.00581395348837209,0.000979491888582798,0.00129098889749548,2.71727609962904,0.545751451318394,NA,NA,NA,NA,NA,NA,NA,NA
"99","Dominican Republic",0.538232346511951,"Dominican Republic",89,34,89,19,0.0319767441860465,0.00416284052647689,0.00638322288206099,2.6550079491256,0.543120109815288,0,0,1,0,0,1,0,0
"100","Paraguay",0.53888607568725,"Paraguay",120,62,69,-36,0.0432412790697674,0.00759106213651668,0.00494879077373268,2.63679120296767,0.543597701110166,0,0,1,1,0,2,0,0.333333333333333
"101","Zambia",0.538657024371427,"Zambia",62,70,62,11,0.0221656976744186,0.00857055402509948,0.00444673953581777,2.65235824059353,0.540581871535726,0,0,2,0,0,2,0,0
"102","Uzbekistan",0.53851595887367,"Uzbekistan",21,68,200,24,0.00726744186046512,0.00832568105295378,0.0143443210832831,2.65666401695813,0.538879604482309,0,1,7,0,0,8,0,0
"103","Tanzania",0.53779583021448,"Tanzania",71,112,242,-35,0.0254360465116279,0.0137128864401592,0.0173566285107726,2.63712241653418,0.542640488894527,0,0,11,0,0,11,0,0
"104","Ivory Coast",0.537689877373711,"Ivory Coast",81,286,175,-191,0.0290697674418605,0.035016835016835,0.0125512809478727,2.58545310015898,0.53882685695898,0,0,4,1,0,5,0,0.166666666666667
"105","Lesotho",0.53811887865576,"Lesotho",29,46,34,74,0.0101744186046512,0.00563207835935109,0.00243853458415813,2.67322469528352,0.539874595062736,NA,NA,NA,NA,NA,NA,NA,NA
"106","South Korea",0.537443041693923,"South Korea",40,10,134,41,0.014171511627907,0.0012243648607285,0.0096106951257997,2.66229464758877,0.538999831489504,0,0,12,1,1,14,0.0666666666666667,0.0666666666666667
"107","Qatar",0.537565174202141,"Qatar",7,7,13,144,0.00218023255813953,0.000857055402509948,0.000932380870413403,2.69640964493906,0.540379591550089,0,0,7,0,2,9,0.2,0
"108","United Arab Emirates",0.537043913097742,"United Arab Emirates",22,123,27,37,0.00763081395348837,0.0150596877869605,0.00193648334624322,2.66096979332273,0.53938840585593,0,0,4,0,0,4,0,0
"109","Vietnam",0.536944301249883,"Vietnam",13,1,28,115,0.00436046511627907,0.00012243648607285,0.00200820495165964,2.68680445151033,0.539107401773104,0,0,15,3,0,18,0,0.157894736842105
"110","Rhodesia",0.53633791875211,"Rhodesia",83,217,158,-165,0.029796511627907,0.0265687174778084,0.0113320136557937,2.59406465288818,0.53798890204051,0,0,1,0,0,1,0,0
"111","Papua New Guinea",0.54689048930049,"Papua New Guinea",89,79,91,-75,0.0319767441860465,0.00967248239975513,0.00652666609289382,2.62387387387387,0.538574875969094,NA,NA,NA,NA,NA,NA,NA,NA
"112","Costa Rica",0.53694697585917,"Costa Rica",69,17,38,11,0.0247093023255814,0.00208142026323844,0.00272542100582379,2.65235824059353,0.539053949096518,0,0,1,0,0,1,0,0
"113","Malta",0.536295876669607,"Malta",23,5,12,80,0.00799418604651163,0.000612182430364249,0.000860659264996988,2.67521197668257,0.537796437732575,0,0,1,0,1,2,0.333333333333333,0
"114","Armenia",0.535790449936886,"Armenia",25,37,71,32,0.00872093023255814,0.00453014998469544,0.00509223398456551,2.6593137254902,0.536856515960128,0,0,6,0,0,6,0,0
"115","New Caledonia",0.535693575059011,"New Caledonia",55,35,23,36,0.0196220930232558,0.00428527701254974,0.00164959692457756,2.66063857975623,0.539629846346902,0,0,2,0,0,2,0,0
"116","Eritrea",0.535287075817574,"Eritrea",17,46,62,11,0.00581395348837209,0.00563207835935109,0.00444673953581777,2.65235824059353,0.534794805580187,0,0,3,0,0,3,0,0
"117","Madagascar",0.53531354017351,"Madagascar",27,31,185,4,0.00944767441860465,0.00379553106825834,0.0132684970020369,2.65003974562798,0.536634610172062,NA,NA,NA,NA,NA,NA,NA,NA
"118","Togo",0.535741066889873,"Togo",48,76,34,2,0.017078488372093,0.00930517294153658,0.00243853458415813,2.64937731849497,0.538278269009914,0,0,0,0,2,2,0.666666666666667,0
"119","Austria",0.535157172213513,"Austria",120,37,150,-158,0.0432412790697674,0.00453014998469544,0.0107582408124623,2.59638314785374,0.535759706449579,0,0,8,0,1,9,0.1,0
"120","Denmark",0.534898215423124,"Denmark",45,5,31,22,0.0159883720930233,0.000612182430364249,0.00222336976790888,2.65600158982512,0.536625158275622,NA,NA,NA,NA,NA,NA,NA,NA
"121","Kyrgyzstan",0.535140172433183,"Kyrgyzstan",39,11,27,34,0.0138081395348837,0.00134680134680135,0.00193648334624322,2.65997615262321,0.536929009458396,NA,NA,NA,NA,NA,NA,NA,NA
"122","Bulgaria",0.534223446113464,"Bulgaria",54,28,37,1,0.0192587209302326,0.00342822161003979,0.00265369940040738,2.64904610492846,0.537146043627855,0,0,1,0,0,1,0,0
"123","Guadeloupe",0.532826723411896,"Guadeloupe",56,8,45,0,0.0199854651162791,0.000979491888582798,0.0032274722437387,2.64871489136195,0.536677959822596,NA,NA,NA,NA,NA,NA,NA,NA
"124","Republic of the Congo",0.531805336840669,"Republic of the Congo",36,182,54,-70,0.012718023255814,0.0222834404652586,0.00387296669248644,2.62552994170641,0.536381020796102,0,0,1,0,0,1,0,0
"125","Panama",0.53022722154431,"Panama",127,38,83,-176,0.0457848837209302,0.00465258647076829,0.0059528932495625,2.5904213036566,0.534406080438742,0,0,0,1,0,1,0,0.5
"126","Albania",0.530769986848536,"Albania",82,42,126,-99,0.0294331395348837,0.00514233241505969,0.00903692228246837,2.61592474827769,0.535364975697015,0,0,2,1,0,3,0,0.25
"127","Seychelles",0.531584523916593,"Seychelles",2,0,0,100,0.000363372093023256,0,0,2.68183624801272,0.536476261230451,NA,NA,NA,NA,NA,NA,NA,NA
"128","Belarus",0.531263328738412,"Belarus",15,14,212,0,0.00508720930232558,0.0017141108050199,0.0152049803482801,2.64871489136195,0.53482437037425,0,0,35,4,0,39,0,0.1
"129","New Zealand",0.531139187321536,"New Zealand",33,52,52,2,0.0116279069767442,0.00636669727578818,0.00372952348165361,2.64937731849497,0.536019749671083,0,0,15,0,5,20,0.238095238095238,0
"130","Jamaica",0.530808591126453,"Jamaica",36,42,36,2,0.012718023255814,0.00514233241505969,0.00258197779499096,2.64937731849497,0.535749965959253,0,0,4,0,0,4,0,0
"131","Poland",0.530776449616043,"Poland",42,9,31,0,0.0148982558139535,0.00110192837465565,0.00222336976790888,2.64871489136195,0.534987707482555,0,0,12,0,1,13,0.0714285714285714,0
"132","Hungary",0.531096308145191,"Hungary",47,6,17,0,0.0167151162790698,0.000734618916437098,0.00121926729207907,2.64871489136195,0.535221752289458,0,0,6,1,0,7,0,0.125
"133","Uruguay",0.530325637975701,"Uruguay",82,6,6,-27,0.0294331395348837,0.000734618916437098,0.000430329632498494,2.63977212506624,0.537090818475145,0,0,1,0,0,1,0,0
"134","Ghana",0.530207202388827,"Ghana",34,27,35,4,0.0119912790697674,0.00330578512396694,0.00251025618957455,2.65003974562798,0.535099119621631,0,0,2,0,0,2,0,0
"135","Laos",0.53042140800717,"Laos",27,27,73,1,0.00944767441860465,0.00330578512396694,0.00523567719539834,2.64904610492846,0.534682394287543,0,0,1,0,0,1,0,0
"136","East Germany (GDR)",0.530177441113174,"East Germany (GDR)",38,2,37,1,0.0134447674418605,0.000244872972145699,0.00265369940040738,2.64904610492846,0.534446852989975,NA,NA,NA,NA,NA,NA,NA,NA
"137","Guinea",0.530732328806673,"Guinea",27,214,58,-96,0.00944767441860465,0.0262014080195898,0.00415985311415211,2.61691838897721,0.534910373149731,0,0,3,0,0,3,0,0
"138","Moldova",0.530537274490864,"Moldova",21,13,88,2,0.00726744186046512,0.00159167431894705,0.00631150127664458,2.64937731849497,0.533795498808146,0,0,2,0,0,2,0,0
"139","Macau",0.531915923938883,"Macau",33,1,46,0,0.0116279069767442,0.00012243648607285,0.00329919384915512,2.64871489136195,0.533927920081066,NA,NA,NA,NA,NA,NA,NA,NA
"140","Czech Republic",0.53014660360662,"Czech Republic",32,6,29,0,0.0112645348837209,0.000734618916437098,0.00207992655707605,2.64871489136195,0.533758709723853,NA,NA,NA,NA,NA,NA,NA,NA
"141","Finland",0.535195847107152,"Finland",25,12,37,0,0.00872093023255814,0.0014692378328742,0.00265369940040738,2.64871489136195,0.533330768572101,0,0,1,0,1,2,0.333333333333333,0
"142","Maldives",0.530075395054619,"Maldives",29,22,126,-70,0.0101744186046512,0.00269360269360269,0.00903692228246837,2.62552994170641,0.530773779187252,0,0,1,0,0,1,0,0
